,date,search_term,interest
733,2020-12-27,double glazing,56
734,2021-01-03,double glazing,60
735,2021-01-10,double glazing,62
736,2021-01-17,double glazing,62
737,2021-01-24,double glazing,63
738,2021-01-31,double glazing,62
739,2021-02-07,double glazing,80
740,2021-02-14,double glazing,70
741,2021-02-21,double glazing,77
742,2021-02-28,double glazing,67
743,2021-03-07,double glazing,66
744,2021-03-14,double glazing,67
745,2021-03-21,double glazing,80
746,2021-03-28,double glazing,73
747,2021-04-04,double glazing,78
748,2021-04-11,double glazing,76
749,2021-04-18,double glazing,80
750,2021-04-25,double glazing,67
751,2021-05-02,double glazing,69
752,2021-05-09,double glazing,57
753,2021-05-16,double glazing,52
754,2021-05-23,double glazing,54
755,2021-05-30,double glazing,66
756,2021-06-06,double glazing,56
757,2021-06-13,double glazing,61
758,2021-06-20,double glazing,51
759,2021-06-27,double glazing,55
760,2021-07-04,double glazing,54
761,2021-07-11,double glazing,50
762,2021-07-18,double glazing,62
763,2021-07-25,double glazing,48
764,2021-08-01,double glazing,53
765,2021-08-08,double glazing,58
766,2021-08-15,double glazing,53
767,2021-08-22,double glazing,57
768,2021-08-29,double glazing,50
769,2021-09-05,double glazing,50
770,2021-09-12,double glazing,54
771,2021-09-19,double glazing,54
772,2021-09-26,double glazing,64
773,2021-10-03,double glazing,62
774,2021-10-10,double glazing,57
775,2021-10-17,double glazing,65
776,2021-10-24,double glazing,59
777,2021-10-31,double glazing,67
778,2021-11-07,double glazing,56
779,2021-11-14,double glazing,46
780,2021-11-21,double glazing,62
781,2021-11-28,double glazing,51
782,2021-12-05,double glazing,49
783,2021-12-12,double glazing,39
784,2021-12-19,double glazing,31
785,2021-12-26,double glazing,38
786,2022-01-02,double glazing,58
787,2022-01-09,double glazing,65
788,2022-01-16,double glazing,55
789,2022-01-23,double glazing,55
790,2022-01-30,double glazing,55
791,2022-02-06,double glazing,62
792,2022-02-13,double glazing,54
793,2022-02-20,double glazing,63
794,2022-02-27,double glazing,55
795,2022-03-06,double glazing,53
796,2022-03-13,double glazing,58
797,2022-03-20,double glazing,58
798,2022-03-27,double glazing,59
799,2022-04-03,double glazing,58
800,2022-04-10,double glazing,50
801,2022-04-17,double glazing,56
802,2022-04-24,double glazing,55
803,2022-05-01,double glazing,49
